code,description,discount_percentage,start_date,end_date
Descuento 30%,Maecenas tincidunt lacus at velit.,41.87,2024-01-25,2023-09-25
Descuento 30%,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,50.4,2024-05-23,2024-02-29
Descuento 10%,Ut at dolor quis odio consequat varius. Integer ac leo.,78.31,2024-06-28,2024-04-18
Descuento 10%,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",15.52,2023-11-03,2024-03-26
Descuento 30%,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",19.78,2024-01-29,2024-04-30
Descuento 10%,In congue. Etiam justo. Etiam pretium iaculis justo.,82.12,2024-02-09,2024-07-17
Descuento 10%,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",29.45,2024-05-29,2024-01-02
Descuento 30%,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,90.86,2023-12-03,2024-05-05
Descuento 30%,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",87.4,2024-03-23,2024-03-25
Descuento 30%,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",93.89,2024-01-09,2024-04-19
Descuento 10%,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",35.66,2023-12-29,2024-06-15
Descuento 50%,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",62.59,2023-10-06,2023-10-17
Descuento 50%,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",36.7,2024-04-02,2024-03-12
Descuento 50%,Aenean lectus.,26.56,2024-07-17,2024-06-07
Descuento 50%,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",77.7,2024-02-07,2023-10-08
Descuento 30%,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,14.84,2024-03-11,2024-07-21
Descuento 30%,Pellentesque at nulla.,16.44,2024-03-30,2024-01-02
Descuento 10%,Quisque ut erat. Curabitur gravida nisi at nibh.,21.65,2024-07-15,2024-07-15
Descuento 50%,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,30.79,2023-10-23,2023-08-16
Descuento 10%,Sed sagittis.,41.26,2023-11-11,2024-03-19
Descuento 50%,Nunc nisl.,95.44,2023-08-10,2023-08-20
Descuento 30%,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",67.12,2023-12-25,2023-11-08
