product_id,customer_id,rating,review,review_date
47,27,8,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",2024-06-11
23,76,3,Nullam varius. Nulla facilisi.,2023-08-25
69,87,4,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,2024-05-05
17,54,4,In congue. Etiam justo. Etiam pretium iaculis justo.,2024-02-19
95,24,2,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",2024-02-24
48,6,1,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",2024-02-22
10,55,2,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,2024-01-28
59,39,7,Proin eu mi.,2024-01-24
57,17,9,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",2023-11-16
6,91,10,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",2023-11-21
32,19,6,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,2023-08-13
83,35,9,Integer ac leo. Pellentesque ultrices mattis odio.,2023-08-18
71,39,3,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",2024-07-07
80,44,9,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",2023-12-04
43,28,7,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,2024-06-17
25,58,10,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",2023-09-12
3,96,3,Proin eu mi.,2024-06-21
82,38,8,In hac habitasse platea dictumst.,2024-07-22
86,33,2,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2024-04-07
45,28,5,Phasellus id sapien in sapien iaculis congue.,2023-09-17
92,64,9,Donec semper sapien a libero. Nam dui.,2023-10-27
85,60,9,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,2023-09-15
22,4,10,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,2024-06-19
32,75,3,Praesent id massa id nisl venenatis lacinia.,2023-09-19
85,30,1,Nulla mollis molestie lorem.,2023-11-11
91,99,7,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,2023-12-11
8,92,5,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2023-09-27
62,89,7,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",2023-08-03
82,86,3,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,2023-12-27
61,96,4,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2023-10-23
14,83,1,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,2023-12-31
57,26,6,Nunc rhoncus dui vel sem. Sed sagittis.,2024-02-26
17,39,6,Praesent blandit. Nam nulla.,2024-07-01
92,76,8,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,2024-03-27
92,27,2,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,2023-11-20
93,40,8,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,2023-11-27
56,25,3,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,2023-12-08
19,74,3,Vivamus tortor.,2023-09-08
5,99,4,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,2024-02-09
89,2,5,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,2023-09-01
83,40,4,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2024-05-02
17,29,4,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,2024-05-03
1,20,1,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",2024-07-05
12,28,8,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,2023-07-30
25,22,6,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",2023-09-22
100,68,2,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",2023-08-22
36,57,8,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,2024-01-16
25,77,3,In congue.,2024-05-30
15,12,9,Morbi porttitor lorem id ligula.,2024-01-17
56,4,2,Etiam vel augue.,2023-10-26
14,30,8,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,2023-12-28
14,9,3,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,2024-04-30
13,83,5,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",2024-02-19
48,20,2,Cras pellentesque volutpat dui.,2024-02-19
4,85,7,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,2024-02-18
8,77,8,Phasellus sit amet erat. Nulla tempus.,2024-02-27
72,13,10,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2024-02-11
36,97,7,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",2023-12-21
83,99,8,Donec dapibus. Duis at velit eu est congue elementum.,2024-05-16
42,24,4,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,2024-07-04
42,38,10,Donec ut mauris eget massa tempor convallis.,2024-07-10
45,29,2,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",2024-05-25
85,27,1,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,2023-10-31
